q_type,query,answer
日常饮食,年轻人每天应该吃多少种食物？,建议每天摄入12种以上食物，每周25种以上。食物多样化才能保证营养均衡。
日常饮食,主食真的那么重要吗？不吃米饭行不行？,不行。中医讲究“五谷为养”，主食提供的能量应占每日总能量的50%~65%。长期摄入主食过少，阳气会失去重要来源，免疫力也会受损。
日常饮食,每天应该喝多少水？,建议每公斤体重饮水量在3040毫升。比如60公斤的人每天喝18002400毫升水。但脾胃忌水湿凝结，喝水后要适当运动发汗。
日常饮食,蔬菜每天吃多少合适？,每天摄入的蔬菜中要有一半是绿叶蔬菜，因为它们富含镁、钾、维生素C及天然抗氧化物质。
日常饮食,年轻人需要吃保健品吗？,如果做不到饮食均衡，建议每天或一周3次吃一粒复合维生素矿物质片剂，但能从自然饮食中得到补充是最好的。
日常饮食,每天吃多少盐合适？,成年人每天食盐不超过5克。要警惕隐形盐，藏在咸菜、火腿肠、豆瓣酱等食物中。
日常饮食,每天吃多少油合适？,成年人每天烹调油25~30克。隐形油藏在炸鸡、薯条、油条等食物中。
日常饮食,每天吃多少糖合适？,添加糖每天不超过50克，最好控制在25克以内。隐形糖藏在蛋糕、果脯、奶茶等食物中。
日常饮食,早餐一定要吃吗？,一定要吃。年轻人早餐欠食率在显著增加，早餐吃好才能元气满满地开始一天。
日常饮食,晚餐吃太晚有什么危害？,晚餐吃太晚会增加胃部压力，导致机体分泌的合成激素增加，合成脂肪的能力增强，易造成肥胖。
日常饮食,吃夜宵有什么坏处？,夜宵会造成胃部压力，影响睡眠质量，增加肥胖风险。
日常饮食,什么是“干净碳水”和“脏碳水”？,薯类、豆类、低糖水果属于干净碳水；高糖、高脂、低营养的属于脏碳水。薯片是最不推荐的零食。
日常饮食,无糖饮料可以随便喝吗？,不可以。畅饮无糖饮料也可能导致血糖升高。
日常饮食,每天吃多少热量合适？,建议每天摄入1500~1800千卡热量，全餐主要由全麦、水果、蔬菜和鸡胸肉等构成。
日常饮食,什么是促炎食物？要少吃哪些？,高碳水、高盐、加工肉类、含反式脂肪酸的食物都是促炎食物，应尽量远离。
日常饮食,哪些是抗炎食物？,富含omega-3不饱和脂肪酸的鱼类、十字花科蔬菜、天然香辛料、浆果类、绿茶等。
日常饮食,每天吃多少水果合适？,两餐之间吃水果，每天半斤左右，品种不限。
日常饮食,可以靠吃“白”补白、吃“黑”补黑吗？,这种说法没有科学依据。饮食应注重营养均衡而非颜色对应。
日常饮食,素食者怎么保证营养？,要特别注意蛋白质、维生素B12、铁、钙等营养素的摄入，可以通过豆制品、坚果、fortified foods等补充。
日常饮食,喝牛奶好还是喝豆浆好？,两者各有优点。牛奶补钙，豆浆含植物蛋白和异黄酮，可以交替饮用。
日常饮食,每天吃多少蛋白质合适？,蛋白质供能应占总能量的10%~15%。优质蛋白来源包括鸡蛋、牛奶、鱼肉、瘦肉、豆制品等。
日常饮食,吃饭七分饱是什么意思？,就是吃到不饿了但还没有完全饱的状态，给脾胃减负。
日常饮食,零食怎么选才健康？,选择天然化零食如酸奶、坚果、肉干等；海藻类食品富含蛋白质和维生素也值得推荐。
日常饮食,每天需要吃坚果吗？,23岁以后可以适量吃坚果，但要注意控制量，每天一小把即可。
日常饮食,减肥期间可以不吃主食吗？,不可以。不吃主食会导致阳气不足、免疫力下降。应选择全谷物、杂豆等优质碳水。
